Method,Iteration,ATTR,AREA,state,FU,REG,MUX,DEC,pin_pair,net,max,min,ave,MISC,MEM,cp_delay,sim,Pmax,Pmin,Pave,Latency,BlockMemoryBit,DSP
BF,1,4140,24028,22,4283,5310,14143,21,58338,20733,22,22,22,271,-,4.1001ns,-,-,-,-,35,-,-
BF,1,4141,23742,21,4274,5094,14085,21,57095,20200,21,21,21,268,-,3.7344ns,-,-,-,-,50,-,-
BF,1,4142,24357,18,4493,5688,13996,21,57277,20575,20,20,20,159,-,4.0401ns,-,-,-,-,25,-,-
BF,1,4143,23988,17,4484,5496,13833,21,55935,20036,19,19,19,154,-,3.6944ns,-,-,-,-,44,-,-
BF,1,4144,23269,22,4178,5304,13662,16,54290,19390,22,22,22,109,-,3.7169ns,-,-,-,-,40,-,-
BF,1,4145,23325,22,4187,5352,13662,16,54291,19424,22,22,22,108,-,3.7169ns,-,-,-,-,40,-,-
BF,1,4146,23269,22,4178,5304,13662,16,54290,19390,22,22,22,109,-,3.7169ns,-,-,-,-,40,-,-
BF,1,4147,23325,22,4187,5352,13662,16,54291,19424,22,22,22,108,-,3.7169ns,-,-,-,-,40,-,-
BF,1,4148,24024,22,4396,5676,13815,16,55479,19881,23,23,23,121,-,3.7369ns,-,-,-,-,41,-,-
BF,1,4149,24022,22,4405,5694,13785,16,55480,19913,23,23,23,122,-,3.7369ns,-,-,-,-,41,-,-
BF,1,4150,24024,22,4396,5676,13815,16,55479,19881,23,23,23,121,-,3.7369ns,-,-,-,-,41,-,-
BF,1,4151,24022,22,4405,5694,13785,16,55480,19913,23,23,23,122,-,3.7369ns,-,-,-,-,41,-,-
BF,1,4152,23880,22,4283,5670,13788,16,55288,19808,23,23,23,123,-,3.6944ns,-,-,-,-,38,-,-
BF,1,4153,24156,30,4700,5490,13788,16,56169,20220,31,31,31,162,-,3.8344ns,-,-,-,-,33,-,-
BF,1,4154,23880,22,4283,5670,13788,16,55288,19808,23,23,23,123,-,3.6944ns,-,-,-,-,38,-,-
BF,1,4155,24156,30,4700,5490,13788,16,56169,20220,31,31,31,162,-,3.8344ns,-,-,-,-,33,-,-
BF,1,4156,24494,29,4707,5694,13876,16,57399,20710,31,31,31,201,-,4.5333ns,-,-,-,-,33,-,-
BF,1,4157,24236,30,4591,5502,13947,16,56480,20288,32,32,32,180,-,3.8344ns,-,-,-,-,34,-,-
BF,1,4158,24494,29,4707,5694,13876,16,57399,20710,31,31,31,201,-,4.5333ns,-,-,-,-,33,-,-
BF,1,4159,24236,30,4591,5502,13947,16,56480,20288,32,32,32,180,-,3.8344ns,-,-,-,-,34,-,-
BF,1,4160,23507,19,4299,5214,13822,30,55096,19656,19,19,19,142,-,3.7169ns,-,-,-,-,47,-,-
BF,1,4161,23452,20,4308,5208,13759,30,54963,19607,20,20,20,147,-,4.0969ns,-,-,-,-,66,-,-
BF,1,4162,23457,17,4299,5280,13743,30,54663,19521,17,17,17,105,-,3.6769ns,-,-,-,-,45,-,-
BF,1,4163,23429,17,4308,5298,13684,30,54557,19486,17,17,17,109,-,3.7269ns,-,-,-,-,45,-,-
BF,1,4164,23425,20,4291,5160,13803,30,54923,19608,20,20,20,141,-,3.6369ns,-,-,-,-,48,-,-
BF,1,4165,23410,21,4300,5160,13775,30,54905,19615,21,21,21,145,-,3.7369ns,-,-,-,-,69,-,-
BF,1,4166,23955,17,4408,5670,13736,30,55228,19783,18,18,18,111,-,3.6769ns,-,-,-,-,46,-,-
BF,1,4167,23958,17,4417,5694,13704,30,55227,19811,18,18,18,113,-,3.6719ns,-,-,-,-,46,-,-
BF,1,4168,23342,20,4295,5112,13768,30,54787,19535,20,20,20,137,-,3.6544ns,-,-,-,-,48,-,-
BF,1,4169,23599,21,4502,5094,13831,30,55445,19768,21,21,21,142,-,3.7044ns,-,-,-,-,68,-,-
BF,1,4170,23900,17,4295,5670,13786,30,55266,19771,18,18,18,119,-,3.6544ns,-,-,-,-,43,-,-
BF,1,4171,24143,18,4712,5478,13800,30,55946,20028,19,19,19,123,-,3.7544ns,-,-,-,-,60,-,-
BF,1,4172,24052,23,4293,5316,14263,30,56446,20032,23,23,23,150,-,3.5944ns,-,-,-,-,53,-,-
BF,1,4173,23603,22,4502,5094,13834,30,55469,19781,22,22,22,143,-,3.7044ns,-,-,-,-,70,-,-
BF,1,4174,24786,19,4503,5688,14415,30,57622,20513,21,21,21,150,-,3.6644ns,-,-,-,-,42,-,-
BF,1,4175,24221,18,4603,5490,13958,30,56265,20114,20,20,20,140,-,3.7544ns,-,-,-,-,62,-,-
BF,1,4176,23468,19,4294,5214,13794,30,54990,19579,19,19,19,136,-,3.7169ns,-,-,-,-,37,-,-
BF,1,4177,23425,20,4303,5208,13742,30,54894,19548,20,20,20,142,-,4.0969ns,-,-,-,-,56,-,-
BF,1,4178,23427,17,4294,5280,13723,30,54594,19459,17,17,17,100,-,3.6769ns,-,-,-,-,35,-,-
BF,1,4179,23405,17,4303,5298,13670,30,54490,19428,17,17,17,104,-,3.7219ns,-,-,-,-,35,-,-
BF,1,4180,23397,20,4286,5160,13783,30,54855,19548,20,20,20,138,-,3.6369ns,-,-,-,-,38,-,-
BF,1,4181,23388,21,4295,5160,13761,30,54842,19559,21,21,21,142,-,3.7369ns,-,-,-,-,59,-,-
BF,1,4182,23930,17,4403,5670,13719,30,55163,19725,18,18,18,108,-,3.6769ns,-,-,-,-,36,-,-
BF,1,4183,23936,17,4412,5694,13690,30,55164,19755,18,18,18,110,-,3.6719ns,-,-,-,-,36,-,-
BF,1,4184,23314,20,4290,5112,13748,30,54719,19475,20,20,20,134,-,3.6544ns,-,-,-,-,38,-,-
BF,1,4185,23573,21,4497,5094,13814,30,55382,19711,21,21,21,138,-,3.7044ns,-,-,-,-,58,-,-
BF,1,4186,23874,17,4290,5670,13769,30,55194,19709,18,18,18,115,-,3.6544ns,-,-,-,-,33,-,-
BF,1,4187,24117,18,4707,5478,13783,30,55880,19969,19,19,19,119,-,3.7544ns,-,-,-,-,50,-,-
BF,1,4188,24036,23,4288,5316,14252,30,56429,19995,23,23,23,150,-,3.5944ns,-,-,-,-,43,-,-
BF,1,4189,23577,22,4497,5094,13817,30,55406,19724,22,22,22,139,-,3.7044ns,-,-,-,-,60,-,-
BF,1,4190,24765,19,4498,5688,14401,30,57585,20468,21,21,21,148,-,3.6644ns,-,-,-,-,32,-,-
BF,1,4191,24195,18,4598,5490,13941,30,56199,20055,20,20,20,136,-,3.7544ns,-,-,-,-,52,-,-
BF,1,4192,23904,19,4306,5226,14037,21,57650,20325,19,19,19,314,-,3.7169ns,-,-,-,-,31,-,-
BF,1,4193,23887,20,4315,5226,14005,21,57643,20341,20,20,20,320,-,3.7169ns,-,-,-,-,50,-,-
BF,1,4194,23625,17,4306,5298,13835,21,55637,19846,17,17,17,165,-,3.6769ns,-,-,-,-,29,-,-
BF,1,4195,23592,17,4315,5304,13784,21,55539,19809,17,17,17,168,-,3.7219ns,-,-,-,-,29,-,-
BF,1,4196,23898,20,4298,5178,14084,21,57625,20361,20,20,20,317,-,3.6369ns,-,-,-,-,32,-,-
BF,1,4197,23882,21,4307,5178,14053,21,57616,20379,21,21,21,323,-,3.7369ns,-,-,-,-,53,-,-
BF,1,4198,24115,17,4415,5676,13832,21,56142,20064,18,18,18,171,-,3.6769ns,-,-,-,-,30,-,-
BF,1,4199,23898,17,4424,5508,13772,21,55863,19971,18,18,18,173,-,3.6769ns,-,-,-,-,30,-,-
BF,1,4200,23767,20,4302,5124,14010,21,57408,20293,20,20,20,310,-,3.6144ns,-,-,-,-,32,-,-
BF,1,4201,23837,21,4291,5112,14105,21,57562,20352,21,21,21,308,-,3.7344ns,-,-,-,-,49,-,-
BF,1,4202,23981,17,4302,5676,13806,21,55981,20006,18,18,18,176,-,3.6544ns,-,-,-,-,27,-,-
BF,1,4203,24090,18,4610,5490,13790,21,56356,20190,19,19,19,179,-,3.7544ns,-,-,-,-,43,-,-
