Method,Iteration,ATTR,AREA,state,FU,REG,MUX,DEC,pin_pair,net,max,min,ave,MISC,MEM,cp_delay,sim,Pmax,Pmin,Pave,Latency,BlockMemoryBit,DSP
BF,1,279,1668,12,578,798,270,0,2812,1334,12,12,12,22,-,2.7448ns,-,-,-,-,29,-,-
BF,1,280,1747,7,602,768,323,15,3026,1400,7,7,7,39,-,2.9648ns,-,-,-,-,38,-,-
BF,1,281,1747,7,602,768,323,15,3026,1400,7,7,7,39,-,2.9648ns,-,-,-,-,38,-,-
BF,1,282,3115,9,1697,990,371,15,5285,2497,9,9,9,42,-,3.5998ns,-,-,-,-,32,-,-
BF,1,283,3115,9,1697,990,371,15,5285,2497,9,9,9,42,-,3.5998ns,-,-,-,-,32,-,-
BF,1,284,5957,13,4496,1032,363,15,10096,4813,13,13,13,51,-,3.2109ns,-,-,-,-,28,-,-
BF,1,285,5838,13,4196,1050,524,15,9990,4633,13,13,13,53,-,3.2909ns,-,-,-,-,28,-,-
BF,1,286,1802,7,596,810,326,15,3082,1429,8,8,8,55,-,2.9848ns,-,-,-,-,31,-,-
BF,1,287,1802,7,596,810,326,15,3082,1429,8,8,8,55,-,2.9848ns,-,-,-,-,31,-,-
BF,1,288,1778,8,596,798,328,15,3045,1411,8,8,8,41,-,2.9648ns,-,-,-,-,39,-,-
BF,1,289,1778,8,596,798,328,15,3045,1411,8,8,8,41,-,2.9648ns,-,-,-,-,39,-,-
BF,1,290,1819,7,594,816,353,14,3147,1456,7,7,7,42,-,3.0661ns,-,-,-,-,34,-,-
BF,1,291,1799,7,594,816,335,14,3088,1431,7,7,7,40,-,2.9055ns,-,-,-,-,34,-,-
BF,1,292,3205,9,1689,1038,418,14,5455,2570,9,9,9,46,-,3.7111ns,-,-,-,-,28,-,-
BF,1,293,3162,9,1711,1014,381,14,5359,2538,9,9,9,42,-,3.6415ns,-,-,-,-,28,-,-
